timestamp,note,actual_cat,clean_note
2024-01-01,routine inspection,Noise,routine inspection
2024-01-01,discussed with shift lead,Noise,discussed with shift lead
2024-01-01,short circuit detected,Electrical,short circuit detected
2024-01-01,cleaned workstation,Noise,cleaned workstation
2024-01-01,wiring frayed on motor,Electrical,wiring frayed on motor
2024-01-01,blown fuse in panel B,Electrical,blown fuse in panel b
2024-01-01,discussed with shift lead,Noise,discussed with shift lead
2024-01-01,routine inspection,Noise,routine inspection
2024-01-01,hydr leak on joint,Hydraulic,hydraulic leak on joint
2024-01-01,short circuit detected,Electrical,short circuit detected
2024-01-01,blown fuse in panel B,Electrical,blown fuse in panel b
2024-01-01,bearing noisy,Mechanical,bearing noise
2024-01-01,discussed with shift lead,Noise,discussed with shift lead
2024-01-02,wiring frayed on motor,Electrical,wiring frayed on motor
2024-01-02,piston pressure low,Hydraulic,piston pressure low
2024-01-02,short circuit detected,Electrical,short circuit detected
2024-01-02,bearing noisy,Mechanical,bearing noise
2024-01-02,piston pressure low,Hydraulic,piston pressure low
2024-01-02,bearing noisy,Mechanical,bearing noise
2024-01-02,wiring frayed on motor,Electrical,wiring frayed on motor
2024-01-02,cleaned workstation,Noise,cleaned workstation
2024-01-02,hydr leak on joint,Hydraulic,hydraulic leak on joint
2024-01-02,cleaned workstation,Noise,cleaned workstation
2024-01-02,seal repl in hydr system,Hydraulic,seal replace in hydraulic system
2024-01-02,gearbox metal shavings found,Mechanical,gearbox metal shavings found
2024-01-02,discussed with shift lead,Noise,discussed with shift lead
2024-01-02,short circuit detected,Electrical,short circuit detected
2024-01-02,discussed with shift lead,Noise,discussed with shift lead
2024-01-02,seal repl in hydr system,Hydraulic,seal replace in hydraulic system
2024-01-02,seal repl in hydr system,Hydraulic,seal replace in hydraulic system
2024-01-02,routine inspection,Noise,routine inspection
2024-01-02,gearbox metal shavings found,Mechanical,gearbox metal shavings found
2024-01-03,discussed with shift lead,Noise,discussed with shift lead
2024-01-03,blown fuse in panel B,Electrical,blown fuse in panel b
2024-01-03,cleaned workstation,Noise,cleaned workstation
2024-01-03,cleaned workstation,Noise,cleaned workstation
2024-01-03,short circuit detected,Electrical,short circuit detected
2024-01-03,routine inspection,Noise,routine inspection
2024-01-03,piston pressure low,Hydraulic,piston pressure low
2024-01-03,discussed with shift lead,Noise,discussed with shift lead
2024-01-03,vibr in main drive,Mechanical,vibration in main drive
2024-01-03,discussed with shift lead,Noise,discussed with shift lead
2024-01-03,blown fuse in panel B,Electrical,blown fuse in panel b
2024-01-03,vibr in main drive,Mechanical,vibration in main drive
2024-01-03,routine inspection,Noise,routine inspection
2024-01-03,routine inspection,Noise,routine inspection
2024-01-03,cleaned workstation,Noise,cleaned workstation
2024-01-03,discussed with shift lead,Noise,discussed with shift lead
2024-01-03,discussed with shift lead,Noise,discussed with shift lead
2024-01-03,wiring frayed on motor,Electrical,wiring frayed on motor
2024-01-03,vibr in main drive,Mechanical,vibration in main drive
2024-01-03,discussed with shift lead,Noise,discussed with shift lead
2024-01-03,hydr leak on joint,Hydraulic,hydraulic leak on joint
2024-01-04,blown fuse in panel B,Electrical,blown fuse in panel b
2024-01-04,seal repl in hydr system,Hydraulic,seal replace in hydraulic system
2024-01-04,discussed with shift lead,Noise,discussed with shift lead
2024-01-04,gearbox metal shavings found,Mechanical,gearbox metal shavings found
